Rows,Context,Code,Noun Phrase
1,Mi gato negro pequeño está durmiendo.,ES-2-01,Mi gato negro pequeño
2,Vimos un gato blanco pequeño en la calle.,ES-2-02,Un gato blanco pequeño en la calle
3,Muchos perros grandes ladran de noche.,ES-2-03,Muchos perros grandes
4,Ella cuida a muchos perros callejeros en el refugio.,ES-2-04,Muchos perros callejeros en el refugio
5,Su nuevo coche rojo es muy rápido.,ES-2-05,Su nuevo coche rojo
6,Compré un nuevo coche eléctrico para la familia.,ES-2-06,Un nuevo coche eléctrico para la familia
7,Mis zapatos marrones viejos están rotos.,ES-2-07,Mis zapatos marrones viejos
8,Tiré unos zapatos negros viejos al cubo.,ES-2-08,Unos zapatos negros viejos al cubo
9,Hay muchos libros interesantes en la biblioteca.,ES-2-09,Muchos libros interesantes
10,Leí muchos libros antiguos sobre historia.,ES-2-10,Muchos libros antiguos sobre historia
11,Tu casa blanca grande es hermosa.,ES-2-11,Tu casa blanca grande
12,Visitamos una casa moderna grande con jardín.,ES-2-12,Una casa moderna grande con jardín
13,Nuestra mesa redonda pequeña es de madera.,ES-2-13,Nuestra mesa redonda pequeña
14,Puse la mesa cuadrada pequeña en el rincón.,ES-2-14,La mesa cuadrada pequeña en el rincón
15,Muchos niños felices juegan en el parque.,ES-2-15,Muchos niños felices
16,Saludamos a muchos niños pequeños en la escuela.,ES-2-16,Muchos niños pequeños en la escuela
17,Mi amigo francés nuevo habla español.,ES-2-17,Mi amigo francés nuevo
18,Él es un amigo especial nuevo de la universidad.,ES-2-18,Un amigo especial nuevo de la universidad
19,Sus flores amarillas pequeñas huelen bien.,ES-2-19,Sus flores amarillas pequeñas
20,Recogí unas flores silvestres pequeñas del campo.,ES-2-20,Unas flores silvestres pequeñas del campo
21,Nuestro perro gris viejo ya no corre.,ES-2-21,Nuestro perro gris viejo
22,Adoptaron a un perro ciego viejo del parque.,ES-2-22,Un perro ciego viejo del parque
23,Tengo muchos sueños raros últimamente.,ES-2-23,Muchos sueños raros
24,Recordó muchos sueños vividos de su infancia.,ES-2-24,Muchos sueños vividos de su infancia
25,Su coche azul nuevo está aparcado fuera.,ES-2-25,Su coche azul nuevo